YOUR NAME,initial mass  [Msol],initial metallicity,overshoot scheme,overshoot parameter (f_ov),overshoot f0,,log_Teff [K],log_L [Lsol],Core mass [Msol],Core radius [Rsol],Age [Myr],Runtime [s],Status
,15.0,0.0014,exponential,0.01,0.001,,4.471,4.68,3.6065,0.5959,12.76,86,completed
,15.0,0.0014,exponential,0.01,0.005,,4.471,4.682,3.59411,0.59726,12.78,78,completed
,15.0,0.0014,exponential,0.01,0.01,,4.471,4.68,3.58792,0.59573,12.76,79,completed
,15.0,0.0014,exponential,0.03,0.001,,4.437,4.775,4.6408,0.67301,14.18,84,completed
,15.0,0.0014,exponential,0.03,0.005,,4.434,4.783,4.71945,0.68042,14.29,87,completed
,15.0,0.0014,exponential,0.03,0.01,,4.435,4.785,4.7225,0.67198,14.29,93,completed
,15.0,0.0014,exponential,0.1,0.001,,4.281,5.052,8.08934,0.89142,17.29,114,completed
,15.0,0.0014,exponential,0.1,0.005,,4.261,5.075,8.42926,0.91513,17.52,112,completed
,15.0,0.0014,exponential,0.1,0.01,,4.256,5.081,8.50558,0.92025,17.57,111,completed
,15.0,0.0014,no overshooting,0.0,0.0,,4.485,4.632,3.10415,0.54786,11.93,180,completed
,15.0,0.0014,step,0.02,0.001,,4.482,4.641,3.20338,0.55508,12.09,102,completed
,15.0,0.0014,step,0.02,0.005,,4.483,4.639,3.17236,0.55641,12.06,133,completed
,15.0,0.0014,step,0.02,0.01,,4.483,4.637,3.15376,0.55372,12.01,103,completed
,15.0,0.0014,step,0.04,0.001,,4.479,4.65,3.27162,0.57064,12.26,93,completed
,15.0,0.0014,step,0.04,0.005,,4.48,4.648,3.2468,0.5679,12.22,94,completed
,15.0,0.0014,step,0.04,0.01,,4.481,4.646,3.22199,0.56524,12.19,92,completed
,15.0,0.014,exponential,0.01,0.001,,4.407,4.658,3.55808,0.68406,12.03,98,completed
,15.0,0.014,exponential,0.01,0.005,,4.406,4.659,3.52716,0.68427,12.06,94,completed
,15.0,0.014,exponential,0.01,0.01,,4.407,4.658,3.5086,0.68425,12.03,90,completed
,15.0,0.014,exponential,0.03,0.001,,4.359,4.746,4.53965,0.76504,13.43,89,completed
,15.0,0.014,exponential,0.03,0.005,,4.354,4.754,4.63953,0.77321,13.54,91,completed
,15.0,0.014,exponential,0.03,0.01,,4.353,4.754,4.638,0.7731,13.54,91,completed
,15.0,0.014,exponential,0.1,0.001,,4.046,5.01,7.77837,1.00899,16.52,97,completed
,15.0,0.014,exponential,0.1,0.005,,3.991,5.031,8.11524,1.02958,16.73,99,completed
,15.0,0.014,exponential,0.1,0.01,,3.968,5.037,8.18688,1.03904,16.79,100,completed
,15.0,0.014,no overshooting,0.0,0.0,,4.425,4.613,3.03832,0.63919,11.23,103,completed
,15.0,0.014,step,0.1,0.001,,4.407,4.658,3.54571,0.68474,12.03,91,completed
,15.0,0.014,step,0.1,0.005,,4.408,4.655,3.53334,0.68156,11.99,93,completed
,15.0,0.014,step,0.1,0.01,,4.408,4.652,3.5086,0.68941,11.94,93,completed
,15.0,0.014,step,0.3,0.001,,4.355,4.748,4.61232,0.77405,13.46,92,completed
,15.0,0.014,step,0.3,0.005,,4.356,4.746,4.6093,0.77435,13.43,92,completed
,15.0,0.014,step,0.3,0.01,,4.359,4.744,4.52753,0.76923,13.4,91,completed
,2.0,0.0014,exponential,0.01,0.001,,4.055,1.768,0.2042,0.07976,676.99,80,completed
,2.0,0.0014,exponential,0.01,0.005,,4.055,1.771,0.20651,0.08031,679.67,80,completed
,2.0,0.0014,exponential,0.01,0.01,,4.055,1.768,0.2042,0.07976,677.0,80,completed
