inlist_name,runtime_seconds,completion_status
inlist_M15_Z0.0014_exponential_fov0.01_f00.001,380,completed
inlist_M2_Z0.0140_noovs,182,completed
inlist_M2_Z0.0140_exponential_fov0.01_f00.001,164,completed
inlist_M2_Z0.0140_exponential_fov0.01_f00.005,132,completed
inlist_M2_Z0.0140_exponential_fov0.01_f00.010,167,completed
inlist_M2_Z0.0140_exponential_fov0.03_f00.001,366,completed
inlist_M2_Z0.0140_exponential_fov0.03_f00.005,132,completed
inlist_M2_Z0.0140_exponential_fov0.03_f00.01,133,completed
inlist_M2_Z0.0140_exponential_fov0.10_f00.001,190,completed
inlist_M2_Z0.0140_exponential_fov0.10_f00.005,171,completed
inlist_M2_Z0.0140_exponential_fov0.10_f00.01,180,completed
inlist_M2_Z0.0140_step_fov0.10_f00.001,178,completed
inlist_M2_Z0.0140_step_fov0.10_f00.005,128,completed
inlist_M2_Z0.0140_step_fov0.10_f00.01,217,completed
inlist_M2_Z0.0140_step_fov0.30_f00.001,175,completed
inlist_M2_Z0.0140_step_fov0.30_f00.005,190,completed
inlist_M2_Z0.0140_step_fov0.30_f00.01,155,completed
inlist_M2_Z0.0014_noovs,225,completed
inlist_M2_Z0.0014_exponential_fov0.01_f00.001,157,completed
inlist_M2_Z0.0014_exponential_fov0.01_f00.005,134,completed
inlist_M2_Z0.0014_exponential_fov0.01_f00.010,172,completed
inlist_M2_Z0.0014_exponential_fov0.03_f00.001,157,completed
inlist_M2_Z0.0014_exponential_fov0.03_f00.005,163,completed
inlist_M2_Z0.0014_exponential_fov0.03_f00.01,149,completed
inlist_M2_Z0.0014_exponential_fov0.10_f00.001,212,completed
inlist_M2_Z0.0014_exponential_fov0.10_f00.005,214,completed
inlist_M2_Z0.0014_exponential_fov0.10_f00.01,131,completed
inlist_M2_Z0.0014_step_fov0.02_f00.001,134,completed
inlist_M2_Z0.0014_step_fov0.02_f00.005,191,completed
inlist_M2_Z0.0014_step_fov0.02_f00.01,189,completed
inlist_M2_Z0.0014_step_fov0.04_f00.001,454,completed
inlist_M2_Z0.0014_step_fov0.04_f00.005,79,completed
